--- A078567 sequence check ---
a(1): PASS (0)
a(2): PASS (1)
a(3): PASS (4)
a(4): PASS (9)
a(5): PASS (17)
a(6): PASS (27)
a(7): PASS (41)
a(8): PASS (57)
a(9): PASS (77)
a(10): PASS (100)
a(11): PASS (127)

--- Identity check (all methods vs brute force, n <= 300) ---
All n in [2,300]: PASS

--- Asymptotic error and empirical theta ---
a(n) = n^2/2*log(n) + (g-3/4)*n^2 + n/4  +  err_osc
err_osc = O(n^{theta+1/2}).  ratio=1.0010  cutoff=1000
Below cutoff: fused verified vs hoying.  Above: fused only (trusted).
Computing 36860 sample points on 20 threads...

                   n   err_a/n^.75  env_max/n^.75   err_D/n^.25   combo/n^.25      θ_slope  method
                1108       0.04502       0.15148             -             -     +618.7681  fused
                1109       0.05471       0.15137             -             -     +216.3292  fused
                1110       0.03405       0.15127             -             -     -525.9545  fused
                1111       0.05585       0.15117             -             -     +549.8520  fused
                1112       0.04734       0.15107             -             -     -183.5980  fused
                1113       0.05009       0.15097             -             -      +63.0610  fused
                1115       0.01675       0.15076             -             -     -609.8458  fused
                1116      -0.02963       0.15066             -             -     +636.5462  fused
                1117      -0.02331       0.15056             -             -     -267.8486  fused
                1118      -0.04713       0.15046             -             -     +787.1301  fused
                1119      -0.08036       0.15036             -             -     +597.0962  fused
                1120      -0.13330       0.15026             -             -     +566.8569  fused
                1121      -0.10268       0.15016             -             -     -292.1926  fused
                1122      -0.09182       0.15006             -             -     -125.0817  fused
                1124      -0.01589       0.14986             -             -     -984.5735  fused
                1125      -0.01266       0.14976             -             -     -255.5030  fused
                1126       0.01207       0.14966             -             -      -53.3286  fused
                1127       0.01714       0.14956             -             -     +394.9430  fused
                1128       0.01285       0.14946             -             -     -323.9831  fused
                1129       0.05059       0.14936             -             -    +1546.3323  fused
                1130       0.04817       0.14926             -             -      -55.1343  fused
                1131       0.04670       0.14916             -             -      -34.8370  fused
                1133       0.03637       0.14896             -             -     -141.2403  fused
                1134       0.00706       0.14886             -             -    -1857.6728  fused
                1135       0.04012       0.14877             -             -    +1971.2285  fused
                1136       0.04344       0.14867             -             -      +90.4728  fused
                1137       0.05794       0.14857             -             -     +327.5367  fused
                1138       0.05297       0.14847             -             -     -101.6625  fused
                1139       0.02859       0.14837             -             -     -701.9597  fused
                1141       0.01342       0.14818             -             -     -430.7011  fused
                1142       0.02261       0.14808             -             -     +595.3058  fused
                1143       0.01242       0.14798             -             -     -683.9365  fused
                1144      -0.00692       0.14789             -             -     -668.0983  fused
                1145       0.00524       0.14779             -             -     -318.4433  fused
                1146       0.00824       0.14769             -             -     +518.2980  fused
